Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.),,HBreak (In.),
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
6,,,,,369,11,80,9,Foul Tip,Sinker,94.4,2207,12,↓,10,→
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
7,,,,,368,10,80,9,Ball,Slider,85.7,2433,40,↓,8,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
8,,,,,367,9,80,9,Swinging Strike,Slider,84.2,2461,42,↓,7,←
,,Kenley Jansen,,Gleyber Torres,,,,,,,,,,,,
9,,,,,366,8,79,9,Called Strike,Sinker,95.6,2252,12,↓,10,→
,,Kenley Jansen,,Aaron Judge,,,,,,,,,,,,
10,,,,,363,7,79,9,Swinging Strike,Slider,85.4,2302,40,↓,6,←
,,Kenley Jansen,,Aaron Judge,,,,,,,,,,,,
11,,,,,362,6,79,9,Foul Tip,Cutter,96,2594,10,↓,1,→
,,Kenley Jansen,,Aaron Judge,,,,,,,,,,,,
12,,,,,360,5,78,9,Hit By Pitch,Sinker,93.3,2107,14,↓,10,→
,,Kenley Jansen,,DJ LeMahieu,,,,,,,,,,,,
13,,,,,359,4,78,9,Ball,Sinker,93.8,2183,16,↓,12,→
,,Kenley Jansen,,DJ LeMahieu,,,,,,,,,,,,
14,,,,,358,3,77,9,"In play, no out",Cutter,95.7,2559,11,↓,4,→
,,Kenley Jansen,,Greg Allen,,,,,,,,,,,,
15,,,,,357,2,77,9,Foul,Cutter,93.9,2532,14,↓,5,→
,,Kenley Jansen,,Greg Allen,,,,,,,,,,,,
16,,,,,356,1,77,9,Foul Bunt,Cutter,95.6,2830,9,↓,5,→
,,Kenley Jansen,,Greg Allen,,,,,,,,,,,,
17,,,,,354,19,76,9,"In play, out(s)",Sinker,94.7,2000,30,↓,14,→
,,Clay Holmes,,Adam Duvall,,,,,,,,,,,,
18,,,,,353,18,75,9,"In play, out(s)",Sinker,97.2,2164,25,↓,8,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
19,,,,,352,17,75,9,Foul,Sweeper,84.4,2729,43,↓,17,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
20,,,,,351,16,75,9,Foul,Slider,89.7,2494,38,↓,1,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
21,,,,,350,15,75,9,Foul,Slider,88.9,2440,37,↓,3,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
22,,,,,349,14,75,9,Foul,Sweeper,84.1,2726,46,↓,18,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
23,,,,,348,13,75,9,Foul,Slider,90.2,2544,39,↓,2,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
24,,,,,347,12,75,9,Foul,Sinker,97.8,2207,27,↓,12,→
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
25,,,,,346,11,75,9,Called Strike,Slider,88.5,2461,39,↓,3,←
,,Clay Holmes,,Masataka Yoshida,,,,,,,,,,,,
26,,,,,345,10,74,9,"In play, run(s)",Sinker,96.9,2139,27,↓,15,→
,,Clay Holmes,,Justin Turner,,,,,,,,,,,,
27,,,,,344,9,74,9,Called Strike,Sinker,97.4,2014,28,↓,16,→
,,Clay Holmes,,Justin Turner,,,,,,,,,,,,
28,,,,,343,8,73,9,"In play, out(s)",Sinker,96.7,1974,29,↓,13,→
,,Clay Holmes,,Rafael Devers,,,,,,,,,,,,
29,,,,,341,7,72,9,Ball,Sinker,97.7,2331,27,↓,17,→
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
30,,,,,340,6,72,9,Ball,Slider,90.7,2579,36,↓,2,←
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
31,,,,,339,5,72,9,Swinging Strike,Sinker,97.3,2223,25,↓,18,→
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
32,,,,,338,4,72,9,Ball,Sinker,98.6,2196,27,↓,18,→
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
33,,,,,336,3,72,9,Ball,Sinker,97.7,2199,27,↓,17,→
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
34,,,,,335,2,72,9,Called Strike,Sinker,96.3,2207,25,↓,17,→
,,Clay Holmes,,Alex Verdugo,,,,,,,,,,,,
35,,,,,334,1,71,9,"In play, no out",Sinker,95.2,2235,25,↓,17,→
,,Clay Holmes,,Pablo Reyes,,,,,,,,,,,,
36,,,,,332,13,70,8,"In play, out(s)",Splitter,88.5,1438,36,↓,7,→
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
37,,,,,331,12,70,8,Called Strike,4-Seam Fastball,96.6,2184,16,↓,9,→
,,Chris Martin,,Anthony Volpe,,,,,,,,,,,,
38,,,,,330,11,69,8,"In play, out(s)",Cutter,93,2206,23,↓,3,←
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
39,,,,,329,10,69,8,Ball,Cutter,93.4,2202,24,↓,3,←
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
40,,,,,328,9,69,8,Foul,4-Seam Fastball,95.8,2155,15,↓,7,→
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
41,,,,,327,8,69,8,Ball,Splitter,87.1,1427,36,↓,10,→
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
42,,,,,326,7,69,8,Ball,4-Seam Fastball,95.4,2142,16,↓,9,→
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
43,,,,,325,6,69,8,Called Strike,4-Seam Fastball,95.2,2114,16,↓,8,→
,,Chris Martin,,Billy McKinney,,,,,,,,,,,,
44,,,,,324,5,68,8,"In play, out(s)",Cutter,93.7,2155,23,↓,3,←
,,Chris Martin,,Harrison Bader,,,,,,,,,,,,
45,,,,,323,4,68,8,Ball,Sinker,95.4,1985,20,↓,17,→
,,Chris Martin,,Harrison Bader,,,,,,,,,,,,
46,,,,,322,3,68,8,Called Strike,Sinker,93.8,1948,20,↓,16,→
,,Chris Martin,,Harrison Bader,,,,,,,,,,,,
47,,,,,321,2,67,8,"In play, no out",Cutter,92.5,2205,24,↓,3,←
,,Chris Martin,,Isiah Kiner-Falefa,,,,,,,,,,,,
48,,,,,320,1,67,8,Ball,Sinker,95,1983,21,↓,15,→
,,Chris Martin,,Isiah Kiner-Falefa,,,,,,,,,,,,
49,,,,,317,15,66,8,"In play, out(s)",Sinker,98.3,2442,18,↓,18,→
,,Jonathan Loaisiga,,Connor Wong,,,,,,,,,,,,
50,,,,,316,14,65,8,"In play, no out",Sinker,97.8,2420,18,↓,19,→
,,Jonathan Loaisiga,,Trevor Story,,,,,,,,,,,,
51,,,,,315,13,65,8,Ball,Sinker,97.2,2371,18,↓,18,→
,,Jonathan Loaisiga,,Trevor Story,,,,,,,,,,,,
52,,,,,314,12,65,8,Ball,Sinker,97.7,2314,20,↓,18,→
,,Jonathan Loaisiga,,Trevor Story,,,,,,,,,,,,
53,,,,,313,11,64,8,"In play, out(s)",Sinker,98.6,2236,22,↓,19,→
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
54,,,,,312,10,64,8,Ball,Sinker,99.5,2214,16,↓,18,→
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
55,,,,,310,9,64,8,Swinging Strike,Sinker,98.6,2213,15,↓,18,→
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
56,,,,,309,8,64,8,Ball,Changeup,92.1,2042,24,↓,18,→
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
57,,,,,308,7,64,8,Ball,Sinker,99.1,2178,15,↓,18,→
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
58,,,,,307,6,64,8,Swinging Strike,Curveball,87.2,2626,33,↓,10,←
,,Jonathan Loaisiga,,Jarren Duran,,,,,,,,,,,,
59,,,,,306,5,63,8,"In play, out(s)",Sinker,99.5,2229,15,↓,18,→
,,Jonathan Loaisiga,,Adam Duvall,,,,,,,,,,,,
60,,,,,304,4,63,8,Called Strike,Sinker,98.5,2289,16,↓,17,→
,,Jonathan Loaisiga,,Adam Duvall,,,,,,,,,,,,
61,,,,,303,3,63,8,Ball,Sinker,98.7,2276,18,↓,17,→
,,Jonathan Loaisiga,,Adam Duvall,,,,,,,,,,,,
62,,,,,302,2,63,8,Called Strike,Sinker,98,2257,15,↓,18,→
,,Jonathan Loaisiga,,Adam Duvall,,,,,,,,,,,,
63,,,,,301,1,63,8,Ball,Sinker,98.3,2257,15,↓,16,→
,,Jonathan Loaisiga,,Adam Duvall,,,,,,,,,,,,
64,,,,,296,2,62,7,"In play, out(s)",Curveball,78,2734,49,↓,16,→
,,Brennan Bernardino,,Giancarlo Stanton,,,,,,,,,,,,
65,,,,,295,1,62,7,Ball,Curveball,78.8,2669,48,↓,14,→
,,Brennan Bernardino,,Giancarlo Stanton,,,,,,,,,,,,
66,,,,,291,28,61,7,Ball,Slider,80.4,2477,36,↓,13,←
,,John Schreiber,,Gleyber Torres,,,,,,,,,,,,
67,,,,,290,27,61,7,Ball,Slider,81.4,2550,36,↓,13,←
,,John Schreiber,,Gleyber Torres,,,,,,,,,,,,
68,,,,,289,26,61,7,Ball,Sinker,92.6,2221,34,↓,16,→
,,John Schreiber,,Gleyber Torres,,,,,,,,,,,,
69,,,,,288,25,61,7,Ball,Slider,80.9,2527,38,↓,17,←
,,John Schreiber,,Gleyber Torres,,,,,,,,,,,,
70,,,,,287,24,60,7,Called Strike,Sinker,93.7,2260,30,↓,16,→
,,John Schreiber,,Aaron Judge,,,,,,,,,,,,
71,,,,,286,23,60,7,Ball,Slider,80.8,2530,40,↓,15,←
,,John Schreiber,,Aaron Judge,,,,,,,,,,,,
72,,,,,285,22,60,7,Swinging Strike,Slider,81.2,2566,37,↓,17,←
,,John Schreiber,,Aaron Judge,,,,,,,,,,,,
73,,,,,284,21,60,7,Called Strike,Slider,80.8,2606,41,↓,13,←
,,John Schreiber,,Aaron Judge,,,,,,,,,,,,
74,,,,,283,20,59,7,Swinging Strike,Slider,81.2,2673,39,↓,12,←
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
75,,,,,281,19,59,7,Foul,Sinker,92.6,2232,35,↓,16,→
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
76,,,,,280,18,59,7,Ball,4-Seam Fastball,92.2,2159,25,↓,8,→
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
77,,,,,279,17,59,7,Foul,Sinker,93.4,2265,31,↓,15,→
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
78,,,,,278,16,59,7,Ball,Slider,80.4,2643,38,↓,13,←
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
79,,,,,277,15,59,7,Called Strike,Sinker,92.6,2243,33,↓,15,→
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
80,,,,,276,14,59,7,Called Strike,Sinker,93.4,2196,35,↓,14,→
,,John Schreiber,,DJ LeMahieu,,,,,,,,,,,,
81,,,,,273,13,58,7,Ball,Slider,81.4,2665,35,↓,13,←
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
82,,,,,272,12,58,7,Ball,Sinker,93.2,2191,30,↓,13,→
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
83,,,,,271,11,58,7,Ball,Slider,82,2757,36,↓,15,←
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
84,,,,,270,10,58,7,Ball,Sinker,95.4,2292,31,↓,15,→
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
85,,,,,269,9,58,7,Swinging Strike,Slider,81.6,2620,37,↓,14,←
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
86,,,,,268,8,58,7,Called Strike,Slider,81.5,2697,37,↓,14,←
,,John Schreiber,,Kyle Higashioka,,,,,,,,,,,,
87,,,,,267,7,57,7,"In play, run(s)",Sinker,93.5,2301,35,↓,14,→
,,John Schreiber,,Anthony Volpe,,,,,,,,,,,,
88,,,,,266,6,57,7,Ball,Slider,80.1,2555,39,↓,16,←
,,John Schreiber,,Anthony Volpe,,,,,,,,,,,,
89,,,,,265,5,56,7,Ball,4-Seam Fastball,89.9,2079,25,↓,9,→
,,John Schreiber,,Billy McKinney,,,,,,,,,,,,
90,,,,,264,4,56,7,Ball,Sinker,91.3,2189,37,↓,16,→
,,John Schreiber,,Billy McKinney,,,,,,,,,,,,
91,,,,,263,3,56,7,Ball,Slider,79.4,2682,37,↓,14,←
,,John Schreiber,,Billy McKinney,,,,,,,,,,,,
92,,,,,262,2,56,7,Ball,Slider,79.4,2628,35,↓,14,←
,,John Schreiber,,Billy McKinney,,,,,,,,,,,,
93,,,,,261,1,55,7,"In play, no out",Sinker,94,2305,33,↓,17,→
,,John Schreiber,,Harrison Bader,,,,,,,,,,,,
94,,,,,258,28,54,7,Swinging Strike,Sweeper,81.5,2745,38,↓,20,←
,,Michael King,,Masataka Yoshida,,,,,,,,,,,,
95,,,,,257,27,54,7,Swinging Strike,Changeup,86.8,2047,29,↓,17,→
,,Michael King,,Masataka Yoshida,,,,,,,,,,,,
96,,,,,256,26,54,7,Foul,Sinker,93.3,2269,28,↓,16,→
,,Michael King,,Masataka Yoshida,,,,,,,,,,,,
97,,,,,255,25,54,7,Ball,Changeup,86.6,1917,32,↓,17,→
,,Michael King,,Masataka Yoshida,,,,,,,,,,,,
98,,,,,254,24,54,7,Ball,Sweeper,81.6,2788,36,↓,12,←
,,Michael King,,Masataka Yoshida,,,,,,,,,,,,
99,,,,,253,23,53,7,"In play, run(s)",Sweeper,81.8,2704,38,↓,20,←
,,Michael King,,Justin Turner,,,,,,,,,,,,
100,,,,,248,22,51,7,"In play, out(s)",Changeup,88.8,2212,27,↓,17,→
,,Michael King,,Alex Verdugo,,,,,,,,,,,,
101,,,,,247,21,51,7,Called Strike,Sinker,95.3,2292,28,↓,18,→
,,Michael King,,Alex Verdugo,,,,,,,,,,,,
102,,,,,245,20,50,7,"In play, out(s)",Sinker,93.6,2160,27,↓,17,→
,,Michael King,,Pablo Reyes,,,,,,,,,,,,
103,,,,,243,19,49,7,Ball,Sinker,94.4,2192,26,↓,17,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
104,,,,,242,18,49,7,Foul,4-Seam Fastball,95.2,2257,14,↓,7,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
105,,,,,241,17,49,7,Called Strike,Sinker,95.1,2432,27,↓,16,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
106,,,,,240,16,49,7,Ball,Sweeper,82.2,2741,40,↓,19,←
,,Michael King,,Reese McGuire,,,,,,,,,,,,
107,,,,,239,15,49,7,Ball,4-Seam Fastball,96.1,2335,13,↓,7,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
108,,,,,238,14,49,7,Ball,Sweeper,81.1,2705,43,↓,14,←
,,Michael King,,Reese McGuire,,,,,,,,,,,,
109,,,,,237,13,49,7,Foul,Sinker,94.6,2320,24,↓,17,→
,,Michael King,,Reese McGuire,,,,,,,,,,,,
110,,,,,236,74,48,6,Foul Tip,4-Seam Fastball,96.4,2405,10,↓,6,→
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
111,,,,,234,73,48,6,Swinging Strike,Sweeper,85,2484,32,↓,14,←
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
112,,,,,232,72,48,6,Called Strike,Sweeper,84.2,2415,36,↓,14,←
,,Nick Pivetta,,Isiah Kiner-Falefa,,,,,,,,,,,,
113,,,,,230,71,47,6,Ball In Dirt,Curveball,80.8,2867,58,↓,6,←
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
114,,,,,229,70,47,6,Ball,4-Seam Fastball,95.8,2204,10,↓,0,
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
115,,,,,227,69,47,6,Swinging Strike,Cutter,87.1,2404,34,↓,4,←
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
116,,,,,226,68,47,6,Swinging Strike,4-Seam Fastball,95.7,2336,13,↓,2,→
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
117,,,,,225,67,47,6,Ball,Curveball,78.3,2985,62,↓,8,←
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
118,,,,,224,66,47,6,Ball,Curveball,79,2835,61,↓,8,←
,,Nick Pivetta,,Jake Bauers,,,,,,,,,,,,
119,,,,,223,65,46,6,"In play, run(s)",4-Seam Fastball,95,2271,11,↓,3,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
120,,,,,222,64,46,6,Foul,Sweeper,82.2,2640,43,↓,9,←
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
121,,,,,221,63,46,6,Ball,Slider,83.4,2519,37,↓,8,←
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
122,,,,,220,62,46,6,Foul,4-Seam Fastball,96.4,2346,8,↓,2,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
123,,,,,219,61,46,6,Foul,4-Seam Fastball,95.8,2244,10,↓,4,→
,,Nick Pivetta,,Gleyber Torres,,,,,,,,,,,,
124,,,,,218,60,45,6,Swinging Strike,Sweeper,84.1,2612,36,↓,16,←
,,Nick Pivetta,,Aaron Judge,,,,,,,,,,,,
125,,,,,217,59,45,6,Foul,4-Seam Fastball,95.8,2256,12,↓,4,→
,,Nick Pivetta,,Aaron Judge,,,,,,,,,,,,
126,,,,,215,58,45,6,Foul,4-Seam Fastball,95.8,2195,12,↓,2,→
,,Nick Pivetta,,Aaron Judge,,,,,,,,,,,,
127,,,,,214,57,45,6,Ball,Curveball,80,2919,61,↓,6,←
,,Nick Pivetta,,Aaron Judge,,,,,,,,,,,,
128,,,,,213,56,45,6,Ball,Sweeper,84.2,2632,32,↓,13,←
,,Nick Pivetta,,Aaron Judge,,,,,,,,,,,,
129,,,,,212,55,44,6,Swinging Strike,4-Seam Fastball,96.3,2412,9,↓,4,→
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
130,,,,,211,54,44,6,Foul,4-Seam Fastball,95.3,2287,10,↓,4,→
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
131,,,,,210,53,44,6,Ball,Sweeper,83.2,2616,35,↓,14,←
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
132,,,,,209,52,44,6,Foul,Curveball,77.8,2966,62,↓,9,←
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
133,,,,,208,51,44,6,Ball,4-Seam Fastball,95.1,2407,12,↓,7,→
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
134,,,,,207,50,44,6,Called Strike,4-Seam Fastball,95.1,2333,11,↓,2,→
,,Nick Pivetta,,DJ LeMahieu,,,,,,,,,,,,
135,,,,,205,12,43,6,Called Strike,Sinker,96.1,2178,27,↓,16,→
,,Michael King,,Trevor Story,,,,,,,,,,,,
136,,,,,204,11,43,6,Swinging Strike,Sweeper,82.5,2687,34,↓,20,←
,,Michael King,,Trevor Story,,,,,,,,,,,,
137,,,,,203,10,43,6,Called Strike,Sinker,95.4,2212,24,↓,15,→
,,Michael King,,Trevor Story,,,,,,,,,,,,
138,,,,,202,9,43,6,Ball,4-Seam Fastball,96.2,2396,13,↓,6,→
,,Michael King,,Trevor Story,,,,,,,,,,,,
139,,,,,201,8,43,6,Ball,Sinker,93.4,2208,27,↓,14,→
,,Michael King,,Trevor Story,,,,,,,,,,,,
140,,,,,200,7,43,6,Ball,Sinker,97.3,2300,20,↓,16,→
,,Michael King,,Trevor Story,,,,,,,,,,,,
141,,,,,199,6,42,6,"In play, no out",Sinker,94.9,2208,29,↓,18,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
142,,,,,198,5,42,6,Foul,4-Seam Fastball,97,2355,13,↓,9,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
143,,,,,197,4,42,6,Ball,Changeup,86.6,1810,31,↓,16,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
144,,,,,196,3,42,6,Ball,Changeup,87,2067,29,↓,19,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
145,,,,,195,2,42,6,Called Strike,4-Seam Fastball,96.1,2320,14,↓,7,→
,,Michael King,,Jarren Duran,,,,,,,,,,,,
146,,,,,194,1,42,6,Swinging Strike,Sweeper,80.8,2758,40,↓,20,←
,,Michael King,,Jarren Duran,,,,,,,,,,,,
147,,,,,191,97,41,6,"In play, out(s)",Cutter,91.5,2625,25,↓,2,←
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
148,,,,,189,96,41,6,Ball,Sweeper,85.8,2932,32,↓,10,←
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
149,,,,,188,95,41,6,Swinging Strike,Sinker,92.1,2567,25,↓,3,→
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
150,,,,,187,94,41,6,Called Strike,Sweeper,86.1,2877,29,↓,8,←
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
151,,,,,186,93,41,6,Ball,Knuckle Curve,84.9,2833,45,↓,18,←
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
152,,,,,185,92,41,6,Ball,Cutter,92.2,2735,23,↓,1,←
,,Clarke Schmidt,,Adam Duvall,,,,,,,,,,,,
153,,,,,184,91,40,6,"In play, run(s)",Sinker,92.8,2574,21,↓,8,→
,,Clarke Schmidt,,Masataka Yoshida,,,,,,,,,,,,
154,,,,,183,90,40,6,Ball In Dirt,Knuckle Curve,85.1,2896,48,↓,16,←
,,Clarke Schmidt,,Masataka Yoshida,,,,,,,,,,,,
155,,,,,182,89,40,6,Swinging Strike,Cutter,92.1,2640,26,↓,4,←
,,Clarke Schmidt,,Masataka Yoshida,,,,,,,,,,,,
156,,,,,180,88,39,6,Ball,Sinker,92.1,2495,23,↓,5,→
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
157,,,,,179,87,39,6,Ball In Dirt,Knuckle Curve,84.7,2953,48,↓,17,←
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
158,,,,,178,86,39,6,Foul,Sweeper,85.8,2997,29,↓,5,←
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
159,,,,,177,85,39,6,Ball,Cutter,92.2,2744,25,↓,4,←
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
160,,,,,176,84,39,6,Foul,Sinker,92.7,2575,25,↓,3,→
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
161,,,,,175,83,39,6,Ball,Sinker,92.7,2579,23,↓,3,→
,,Clarke Schmidt,,Justin Turner,,,,,,,,,,,,
162,,,,,174,82,38,6,"In play, no out",Knuckle Curve,83.7,2929,47,↓,17,←
,,Clarke Schmidt,,Rafael Devers,,,,,,,,,,,,
163,,,,,173,49,37,5,"In play, out(s)",Sweeper,83.6,2531,35,↓,12,←
,,Nick Pivetta,,Kyle Higashioka,,,,,,,,,,,,
164,,,,,172,48,36,5,Swinging Strike,Sweeper,84.6,2599,33,↓,12,←
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
165,,,,,171,47,36,5,Ball,Curveball,79.4,3028,62,↓,6,←
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
166,,,,,170,46,36,5,Foul,4-Seam Fastball,95.5,2337,9,↓,5,→
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
167,,,,,169,45,36,5,Ball,4-Seam Fastball,95.4,2375,10,↓,6,→
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
168,,,,,168,44,36,5,Called Strike,Sweeper,85.3,2598,29,↓,13,←
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
169,,,,,167,43,36,5,Called Strike,4-Seam Fastball,96.5,2444,10,↓,6,→
,,Nick Pivetta,,Anthony Volpe,,,,,,,,,,,,
170,,,,,166,42,35,5,"In play, out(s)",Cutter,87.5,2392,35,↓,5,←
,,Nick Pivetta,,Billy McKinney,,,,,,,,,,,,
171,,,,,165,41,35,5,Called Strike,4-Seam Fastball,95.3,2445,11,↓,5,→
,,Nick Pivetta,,Billy McKinney,,,,,,,,,,,,
172,,,,,164,40,35,5,Ball,4-Seam Fastball,94.8,2440,11,↓,6,→
,,Nick Pivetta,,Billy McKinney,,,,,,,,,,,,
173,,,,,163,39,35,5,Ball,Curveball,77.7,3008,66,↓,10,←
,,Nick Pivetta,,Billy McKinney,,,,,,,,,,,,
174,,,,,162,81,34,5,"In play, out(s)",Sweeper,85.6,2905,31,↓,5,←
,,Clarke Schmidt,,Alex Verdugo,,,,,,,,,,,,
175,,,,,161,80,34,5,Ball In Dirt,Knuckle Curve,85.2,2919,47,↓,17,←
,,Clarke Schmidt,,Alex Verdugo,,,,,,,,,,,,
176,,,,,158,79,34,5,Called Strike,Sweeper,84,2845,33,↓,11,←
,,Clarke Schmidt,,Alex Verdugo,,,,,,,,,,,,
177,,,,,157,78,34,5,Ball,Sinker,93.3,2477,26,↓,7,→
,,Clarke Schmidt,,Alex Verdugo,,,,,,,,,,,,
178,,,,,156,77,33,5,"In play, no out",Knuckle Curve,82.5,2833,45,↓,18,←
,,Clarke Schmidt,,Pablo Reyes,,,,,,,,,,,,
179,,,,,155,76,33,5,Foul,Sinker,92.5,2647,22,↓,5,→
,,Clarke Schmidt,,Pablo Reyes,,,,,,,,,,,,
180,,,,,153,75,33,5,Called Strike,Sinker,93.2,2551,27,↓,10,→
,,Clarke Schmidt,,Pablo Reyes,,,,,,,,,,,,
181,,,,,152,74,33,5,Called Strike,Sinker,92,2530,27,↓,4,→
,,Clarke Schmidt,,Pablo Reyes,,,,,,,,,,,,
182,,,,,151,73,32,5,"In play, out(s)",Knuckle Curve,83,2842,46,↓,18,←
,,Clarke Schmidt,,Reese McGuire,,,,,,,,,,,,
183,,,,,150,72,32,5,Ball,Cutter,90.7,2696,22,↓,2,←
,,Clarke Schmidt,,Reese McGuire,,,,,,,,,,,,
184,,,,,149,71,32,5,Foul,Knuckle Curve,83.7,3012,49,↓,15,←
,,Clarke Schmidt,,Reese McGuire,,,,,,,,,,,,
185,,,,,148,70,32,5,Foul,Cutter,90.7,2603,25,↓,2,←
,,Clarke Schmidt,,Reese McGuire,,,,,,,,,,,,
186,,,,,147,69,31,5,Swinging Strike,Knuckle Curve,84.4,2918,45,↓,17,←
,,Clarke Schmidt,,Trevor Story,,,,,,,,,,,,
187,,,,,145,68,31,5,Foul,Sinker,92,2575,26,↓,3,→
,,Clarke Schmidt,,Trevor Story,,,,,,,,,,,,
188,,,,,144,67,31,5,Called Strike,Knuckle Curve,83,2950,49,↓,16,←
,,Clarke Schmidt,,Trevor Story,,,,,,,,,,,,
189,,,,,143,66,31,5,Ball,Cutter,90.9,2796,25,↓,3,←
,,Clarke Schmidt,,Trevor Story,,,,,,,,,,,,
190,,,,,142,38,30,4,"In play, out(s)",Sweeper,85.8,2651,35,↓,14,←
,,Nick Pivetta,,Harrison Bader,,,,,,,,,,,,
191,,,,,141,37,30,4,Ball,4-Seam Fastball,95.7,2441,9,↓,4,→
,,Nick Pivetta,,Harrison Bader,,,,,,,,,,,,
192,,,,,140,36,30,4,Called Strike,Curveball,79.9,2880,60,↓,7,←
,,Nick Pivetta,,Harrison Bader,,,,,,,,,,,,
193,,,,,139,35,30,4,Ball,Curveball,81.6,2907,56,↓,7,←
,,Nick Pivetta,,Harrison Bader,,,,,,,,,,,,
194,,,,,138,34,29,4,Swinging Strike,Sweeper,84.6,2586,39,↓,13,←
